Source Code,Skill Level,Skill
"def add(a, b): return a + b",Beginner,Arithmetic
"for i in range(10): print(i)",Beginner,Loops
"class MyClass: pass",Intermediate,Classes
"def factorial(n): return 1 if n==0 else n*factorial(n-1)",Intermediate,Recursion
"import numpy as np; np.array([1,2,3])",Expert,Numpy
"def merge_sort(arr): if len(arr) > 1: mid = len(arr)//2 left_half = arr[:mid] right_half = arr[mid:] merge_sort(left_half) merge_sort(right_half) i = j = k = 0 while i < len(left_half) and j < len(right_half): if left_half[i] < right_half[j]: arr[k] = left_half[i] i += 1 else: arr[k] = right_half[j] j += 1 k += 1 while i < len(left_half): arr[k] = left_half[i] i += 1 k += 1 while j < len(right_half): arr[k] = right_half[j] j += 1 k += 1",Expert,Sorting
"def fibonacci(n): if n <= 1: return n return fibonacci(n-1) + fibonacci(n-2)",Intermediate,Recursion
"import pandas as pd; df = pd.DataFrame({'A': [1, 2], 'B': [3, 4]})",Intermediate,Pandas
"def quicksort(arr): if len(arr) <= 1: return arr pivot = arr[len(arr) // 2] left = [x for x in arr if x < pivot] middle = [x for x in arr if x == pivot] right = [x for x in arr if x > pivot] return quicksort(left) + middle + quicksort(right)",Expert,Sorting
"def reverse_string(s): return s[::-1]",Beginner,Strings
"import matplotlib.pyplot as plt; plt.plot([1, 2, 3], [4, 5, 6]); plt.show()",Expert,Matplotlib
"def is_prime(n): if n <= 1: return False for i in range(2, int(n**0.5) + 1): if n % i == 0: return False return True",Intermediate,Algorithms
"def binary_search(arr, target): left, right = 0, len(arr) - 1 while left <= right: mid = (left + right) // 2 if arr[mid] == target: return mid elif arr[mid] < target: left = mid + 1 else: right = mid - 1 return -1",Intermediate,Algorithms
"import tensorflow as tf; model = tf.keras.models.Sequential([tf.keras.layers.Dense(10, activation='relu', input_shape=(784,)), tf.keras.layers.Dense(10, activation='softmax')])",Expert,TensorFlow
"def print_even_numbers(n): for i in range(n): if i % 2 == 0: print(i)",Beginner,Loops
"import sklearn as sk; from sklearn.ensemble import RandomForestClassifier",Expert,Scikit-Learn
"import flask; app = flask.Flask(__name__); @app.route('/') def home(): return 'Hello World!'",Intermediate,Flask
"import django; django.setup(); from django.db import models; class MyModel(models.Model): name = models.CharField(max_length=100)",Expert,Django
"import seaborn as sns; sns.scatterplot(x=[1,2,3], y=[4,5,6])",Expert,Seaborn
"import requests; response = requests.get('https://api.example.com')",Intermediate,Requests
"def bubble_sort(arr): n = len(arr) for i in range(n): for j in range(0, n-i-1): if arr[j] > arr[j+1]: arr[j], arr[j+1] = arr[j+1], arr[j]",Intermediate,Sorting
"def palindrome(s): return s == s[::-1]",Beginner,Strings
"def gcd(a, b): while b: a, b = b, a % b return a",Intermediate,Algorithms
"import re; pattern = r'\\b[a-zA-Z]+\\b'; re.findall(pattern, 'Hello, World!')",Intermediate,Regex
"import sqlite3; conn = sqlite3.connect(':memory:'); c = conn.cursor(); c.execute('CREATE TABLE test (id INT, name TEXT)')",Intermediate,SQLite
"from collections import Counter; Counter('hello world')",Intermediate,Collections
"import os; os.listdir('.')",Intermediate,OS
"def knapsack(weights, values, W): n = len(weights) dp = [[0 for _ in range(W+1)] for _ in range(n+1)] for i in range(n+1): for w in range(W+1): if i == 0 or w == 0: dp[i][w] = 0 elif weights[i-1] <= w: dp[i][w] = max(values[i-1] + dp[i-1][w-weights[i-1]], dp[i-1][w]) else: dp[i][w] = dp[i-1][w] return dp[n][W]",Expert,Dynamic Programming
"from itertools import permutations; list(permutations([1,2,3]))",Intermediate,Itertools
