skill,beginner,inter,advanced
pandas,pandas,"groupby,loc,dropna","transform,chunksize,pipe"
numpy,numpy,"array,mean,std","broadcasting,vectorize,linalg"
matplotlib,matplotlib,"plot,scatter,hist","animation,3D plotting,styles"
seaborn,seaborn,"catplot,pairplot,heatmap","FacetGrid,regplot,clustering"
scikit-learn,scikit-learn,"train_test_split,Pipeline,StandardScaler","GridSearchCV,cross_val_score,feature_selection"
TensorFlow,TensorFlow,"Sequential,Flatten,predict","quantization,saved_model.save,distribute.Strategy"
keras,keras,"Sequential,compile,predict,ImageDataGenerator","keras.layers,GradientTape,distribute.Strategy"
pytorch,pytorch,"tensor,autograd,nn","torchscript,distributed_training,custom_datasets"
flask,flask,"route,request,template","blueprints,extensions,middleware"
django,django,"models,views,templates","middlewares,signals,async_views"
nltk,nltk,"_tokenize,Stemmer,stopwords,FreqDist",".tree,NgramModel,transform"
spacy,spacy,".load,nlp,Token,Doc","add_pipe,Tokenizer,vocab.vectors.util"
sqlalchemy,sqlalchemy,"create_engine,session,query","ORM,joins,migrations"
beautifulsoup,beautifulsoup,"find,find_all,select","custom_parser,performance,encoding"
